Addressee final,Wizard addressee,Focus of attention,Method,"Expression (facial, gestural, verbal)",Speech form of address,Speech politeness,Speech type of sentence,Speech specific,Expression specific,Method specific,Time_adapted,Addressee final (reduced),Focus of attention (reduced),Vp_num,Wizard task,Condition,Order,Annotator,Addressee final Code,Focus of attention Code,Addressee final (reduced) Code,Focus of attention (reduced) Code,Speech specific (reduced),Method specific (reduced),Expression (reduced),Speech type of sentence (reduced),Speech phrasing,Addressee equals focus
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),Licht!,---,VP schaut nach oben zum LIcht und sagt: __Licht!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),3,1,nonverbal,1,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),Licht aus! Flur!,---,VP schaut nach oben zum Licht und sagt:__Licht aus! Flur!__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),3,2,nonverbal,1,ES,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Switch (living room),Apartment,Switch (living room),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP drückt die Fernbedingungen, die auf der Fensterbank lagen",0,Parts of the apartment,Parts of the apartment,3,3,nonverbal,1,ES,SwL,SwL,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt den Bildschirm auf der Arbeitsfläche,0,Parts of the apartment,Parts of the apartment,3,4,nonverbal,1,ES,ScK,ScK,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Question (words),Anrufe?!,---,VP schaut nach oben im Flur und sagt: __Anrufe?!__,0,Unspecific,Light in the hallway \(L_H\),3,5,nonverbal,1,ES,U,LH,U,LH,None,None,neutral,Question,Words,FALSE
Unspecific,Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (words),Uhrzeit?!,---,VP spricht in Richtung Flur: __Uhrzeit?!__ und schaut auf den Bildschirm,0,Unspecific,Parts of the apartment,3,6,nonverbal,1,ES,U,ScK,U,Ap,None,None,neutral,Question,Words,FALSE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,"VP berührt mehrmals die Stehlampe, erst an der Seite und dann oben",0,Floor lamp \(L_F\),Floor lamp \(L_F\),3,7,nonverbal,1,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Robot,Apartment,Robot,speech,neutral,with Name,polite,Command (sentence),"__Ähm, bitte das Licht im Flur anmachen.__",---,"VP sagt: __Ähm, bitte das Licht im Flur anmachen.__",898,Robot,Robot,4,1,nonverbal,1,PH,R,R,R,R,Licht,None,neutral,Command,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,polite,Command (sentence),__Bitte das Licht im Flur ausmachen.__,---,VP sagt: __Bitte das Licht im Flur ausmachen.__,0,Robot,Robot,4,2,nonverbal,1,PH,R,R,R,R,Licht,None,neutral,Command,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,polite,Command (sentence),__Bitte Musik einschalten.__,---,VP sagt: __Bitte Musik einschalten.__,0,Robot,Robot,4,3,nonverbal,1,PH,R,R,R,R,None,None,neutral,Command,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Habe ich Pakete bekommen?__,---,VP stellt sich vor den Roboter und fragt: __Habe ich Pakete bekommen?__,0,Robot,Robot,4,4,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Hat jemand für mich angerufen?__,---,VP fragt: __Hat jemand für mich angerufen?__,0,Robot,Robot,4,5,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Wie viel Uhr ist es?__,---,VP fragt: __Wie viel Uhr ist es?__,0,Robot,Robot,4,6,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Floor lamp \(L_F\),Robot,speech,baffled,with Name,polite,Command (sentence),__Bitte heller machen.__,"VP ist hier ratlos, weil sie nicht erkennt, dass sie die Aufgabe gelöst hat; hier ist auch einiges schief gelaufen",VP sagt: __Bitte heller amchen.__,0,Robot,Robot,4,7,nonverbal,1,PH,R,R,R,R,None,None,negative,Command,Sentence,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP geht in den Flur und winkt mit der Hand nach oben zum Licht,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),6,1,nonverbal,1,ES,LH,LH,LH,LH,None,Winkt,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Unspecific,gesture,neutral,unobserved,unobserved,unobserved,---,---,VP steht in der Küche und winkt mehrmals nach oben zum Licht,0,Unspecific,Unspecific,6,2,nonverbal,1,ES,U,U,U,U,None,Winkt,neutral,unobserved,unobserved,TRUE
