Speech intention	Time_adapted	Speech specific	Wizard	Filename	Expression specific	Vp_num	Study progress (coarse)	Addressee final (reduced)	Wizard addressee	Speech politeness	Annotator	Robot speech	Addressee final	Apartment time	Apartment door state	Study progress (detailed)	Condition	Apartment call	Cupboard door state	Cupboard handle sound	Focus of attention (reduced)	Order	Displayed Text	Speech form of address	Cupboard handle light	Speech type of sentence	Expression (facial, gestural, verbal)	Apartment parcel	Method	Radio	Robot gesture	Focus of attention	Method specific	Wizard task
Kommunikationsversuch	0	Anrufe?!	Aufgabe 5 Apartment	VP3_RF1-nonverbal_ES.eaf		3	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal				Light in the hallway \(L_H\)	1		with Name		Question (words)	unobserved		speech			Light in the hallway \(L_H\)	VP schaut nach oben im Flur und sagt: __Anrufe?!__	5
	0		Aufgabe 4 Apartment	VP3_RF1-nonverbal_ES.eaf		3	Task solution	Parts of the apartment	Apartment	unobserved	ES		Screen (kitchen on worktop)			Lösungsversuch	nonverbal				Parts of the apartment	1		unobserved		unobserved	unobserved		touch			Screen (kitchen on worktop)	VP berührt den Bildschirm auf der Arbeitsfläche	4
	0		Aufgabe 7 Stehlampe	VP3_RF1-nonverbal_ES.eaf		3	Task solution	Floor lamp \(L_F\)	Floor lamp \(L_F\)	unobserved	ES		Floor lamp \(L_F\)			Lösungsversuch	nonverbal				Floor lamp \(L_F\)	1		unobserved		unobserved	unobserved		touch			Floor lamp \(L_F\)	VP berührt mehrmals die Stehlampe, erst an der Seite und dann oben	7
Kommunikationsversuch	0	Uhrzeit?!	Aufgabe 6 Apartment	VP3_RF1-nonverbal_ES.eaf		3	Task solution	Unspecific	Apartment	neutral	ES		Unspecific			Lösungsversuch	nonverbal				Parts of the apartment	1		with Name		Question (words)	unobserved		speech			Screen (kitchen on worktop)	VP spricht in Richtung Flur: __Uhrzeit?!__ und schaut auf den Bildschirm	6
Kommunikationsversuch	0	Licht!	Aufgabe 1 Apartment	VP3_RF1-nonverbal_ES.eaf		3	Task solution	Light in the hallway \(L_H\)	Apartment	neutral	ES		Light in the hallway \(L_H\)			Lösungsversuch	nonverbal				Light in the hallway \(L_H\)	1		with Name		Command (words)	unobserved		speech			Light in the hallway \(L_H\)	VP schaut nach oben zum LIcht und sagt: __Licht!__	1
	0		Aufgabe 3 Apartment	VP3_RF1-nonverbal_ES.eaf		3	Task solution	Parts of the apartment	Apartment	unobserved	ES		Switch (living room)			Lösungsversuch	nonverbal				Parts of the apartment	1		unobserved		unobserved	unobserved		touch			Switch (living room)	VP drückt die Fernbedingungen, die auf der Fensterbank lagen	3
Kommunikationsversuch	0	Licht aus! Flur!	Aufgabe 2 Apartment	VP3_RF1-nonverbal_ES.eaf		3	Task solution	Light in the hallway \(L_H\)	Apartment	neutral	ES		Light in the hallway \(L_H\)			Lösungsversuch	nonverbal				Light in the hallway \(L_H\)	1		with Name		Command (words)	unobserved		speech			Light in the hallway \(L_H\)	VP schaut nach oben zum Licht und sagt:__Licht aus! Flur!__	2
Kommunikationsversuch	0	__Habe ich Pakete bekommen?__	Aufgabe 4 Roboter	VP4_R1-nonverbal_PH.eaf		4	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	nonverbal				Robot	1		with Name		Question (sentence)	unobserved		speech			Robot	VP stellt sich vor den Roboter und fragt: __Habe ich Pakete bekommen?__	4
Kommunikationsversuch	0	__Bitte Musik einschalten.__	Aufgabe 3 Roboter	VP4_R1-nonverbal_PH.eaf		4	Task solution	Robot	Robot	polite	PH		Robot			Lösungsversuch	nonverbal				Robot	1		with Name		Command (sentence)	unobserved		speech			Robot	VP sagt: __Bitte Musik einschalten.__	3
Kommunikationsversuch	0	__Wie viel Uhr ist es?__	Aufgabe 6 Roboter	VP4_R1-nonverbal_PH.eaf		4	Task solution	Robot	Robot	neutral	PH		Robot			Lösungsversuch	nonverbal				Robot	1		with Name		Question (sentence)	unobserved		speech			Robot	VP fragt: __Wie viel Uhr ist es?__	6
